,filepath,mbid
0,Raag Shree by Deborshee Bhattacharya/Raag Shree/Raag Shree,b3a43a82-b3c3-49bf-bd3d-db561c1ec355
1,Raag Lagan Gandhar & Nirgun Bhajan by Kumar Gandharva/Nirgun Bhajan/Nirgun Bhajan,cf1b51f3-aa25-4fb2-bf63-f0271448abf0
2,Raag Lagan Gandhar & Nirgun Bhajan by Kumar Gandharva/Raag Lagan Gandhar/Raag Lagan Gandhar,34c7f5c5-cd81-4a53-ae65-90c97f9effd2
3,"Raag Kalyan, Bhimpalasi & Dhani by Satyasheel Deshpande/Raag Dhani/Raag Dhani",a9431b48-880b-4dcb-96f5-6f2c11879fb1
4,"Raag Kalyan, Bhimpalasi & Dhani by Satyasheel Deshpande/Raag Bhimpalasi/Raag Bhimpalasi",f49ac932-a7d3-4031-ae44-acf5ea47eca1
5,"Raag Kalyan, Bhimpalasi & Dhani by Satyasheel Deshpande/Raag Kalyan/Raag Kalyan",ee7cec18-bc81-4b96-8778-9bda53c8c86e
6,Raag Bageshree & Bhairavi Bhajan by Satyasheel Deshpande/Bhairavi Bhajan/Bhairavi Bhajan,b07c744e-c3ad-4bb8-b7e3-9a7ef979ea20
7,Raag Bageshree & Bhairavi Bhajan by Satyasheel Deshpande/Raag Bageshree/Raag Bageshree,897f4174-24be-493a-be1c-57fd3c018601
8,Raag Kedar & Jog by Ajoy Chakrabarty/Raag Kedar/Raag Kedar,dc09e696-88d1-427f-bb1b-92d899ed9af1
9,Raag Kedar & Jog by Ajoy Chakrabarty/Raag Jog/Raag Jog,566d6c64-ae66-45e7-9f91-e33cd6c0f18f
10,Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Lalit/Raag Lalit,047abeeb-88f5-4395-8542-f7448668a281
11,Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Marwa/Raag Marwa,dd875fec-377f-4565-98ca-cc9cf6397995
12,Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Yaman/Raag Yaman,82f80a73-a455-408a-a1bd-241b4b4f2388
13,Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Bilaskhani Todi/Raag Bilaskhani Todi,57b81628-b37d-4fee-991a-4f2387bca45a
14,Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Madhukauns/Raag Madhukauns,89224046-f086-4530-b2a3-70f9ae697faf
15,Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Desh/Raag Desh,62c7a9e6-e720-4cec-98cf-dda45c28bc0e
16,Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Puriya Dhanashree/Raag Puriya Dhanashree,15b6df7e-2b76-484d-9089-1619cc850b59
17,Hindustani Alaps by Kaustuv Kanti Ganguli/Raag Miyan Malhar/Raag Miyan Malhar,001932a8-85a2-4f3f-9497-5e322c85abcd
18,Raag Bhairav & Dhani by Kumar Gandharva/Raag Bhairav/Raag Bhairav,0a11bf6f-b55d-459c-9447-7a5a555a286f
19,Raag Bhairav & Dhani by Kumar Gandharva/Raag Dhani/Raag Dhani,20aac96e-9e62-41e9-a3ce-5e6f2d7fff1a
20,"Raag Abhogi, Rageshree & Khamaj by Ajoy Chakrabarty/Raag Abhogi/Raag Abhogi",a01ac873-dff4-420f-9fd8-490dd87c58e9
21,"Raag Abhogi, Rageshree & Khamaj by Ajoy Chakrabarty/Raag Khamaj/Raag Khamaj",c556b631-111f-42e8-aa98-e02f0777be9e
22,"Raag Abhogi, Rageshree & Khamaj by Ajoy Chakrabarty/Raag Rageshri/Raag Rageshri",9a2ce15a-4b28-4d10-abc7-9e05310c2e3b
23,Raag Mian Malhar & Ramdasi Malhar by Deborshee Bhattacharya/Raag Mian Malhar/Raag Mian Malhar,1f9922a5-0366-4461-96ac-81a31703416b
24,Raag Mian Malhar & Ramdasi Malhar by Deborshee Bhattacharya/Raag Ramdasi Malhar/Raag Ramdasi Malhar,9310d945-c36c-4d0a-90fd-2afc8fdec1a4
25,Raag Marwa & Shree by Omkar Dadarkar/Raag Marwa/Raag Marwa,98afad39-5abc-4c96-b7af-5f2c70831066
26,Raag Marwa & Shree by Omkar Dadarkar/Raag Shree/Raag Shree,f3313201-ab83-4633-b463-60b862ab1a21
27,Raag Bihag by Deborshee Bhattacharya/Raag Bihag/Raag Bihag,f0ce173e-e69b-4baf-8c23-cdd63fd15ab1
28,Raag Mian Malhar & Ramdasi Malhar by Satyasheel Deshpande/Raag Mian Malhar/Raag Mian Malhar,adf0b8ea-cc74-410f-bd52-d59c08c78783
29,Raag Mian Malhar & Ramdasi Malhar by Satyasheel Deshpande/Raag Ramdasi Malhar/Raag Ramdasi Malhar,c2d94545-9d2f-4197-8902-c1a1bdcb72f8
30,"Raag Bahar, Gaud Malhar & Yaman by Omkar Dadarkar/Raag Bahar/Raag Bahar",c73c038c-df41-43f9-a272-916b1f2e1fc7
31,"Raag Bahar, Gaud Malhar & Yaman by Omkar Dadarkar/Raag Yaman/Raag Yaman",c76cadd9-9e7b-4e9e-96dc-f79a9a8eed78
32,"Raag Bahar, Gaud Malhar & Yaman by Omkar Dadarkar/Raag Gaud Malhar/Raag Gaud Malhar",73b74f57-4ba1-4f22-a969-1d9b2e26b5ea
33,Raag Lalit & Bibhas by Omkar Dadarkar/Raag Lalit/Raag Lalit,8e815f51-194f-4e14-b1e3-5a214590d895
34,Raag Lalit & Bibhas by Omkar Dadarkar/Raag Bibhas/Raag Bibhas,d2b7d16c-d6c2-4ed0-9b63-312217b02a9e
35,"Raag Shree, Lalit Pancham & Bhairavi Thumri by Kaustuv Kanti Ganguli/Raag Lalit Pancham/Raag Lalit Pancham",c80561d6-5e81-42bb-b404-ac659741b643
36,"Raag Shree, Lalit Pancham & Bhairavi Thumri by Kaustuv Kanti Ganguli/Bhairavi Thumri/Bhairavi Thumri",1da7a284-99d3-46be-9537-13e2edf8d928
37,"Raag Shree, Lalit Pancham & Bhairavi Thumri by Kaustuv Kanti Ganguli/Raag Shree/Raag Shree",454f0c85-a41b-48c1-afa5-b4f5dbcb7947
38,Raag Bhimpalasi & Multani by Omkar Dadarkar/Raag Multani/Raag Multani,0bdad2a8-94d8-40c2-91ec-e77100fcaa02
39,Raag Bhimpalasi & Multani by Omkar Dadarkar/Raag Bhimpalasi/Raag Bhimpalasi,bcb1c58d-e3f1-4fb7-a026-7d5a56c59107
40,Raag Jog & Kirwani Bhajan by Kaustuv Kanti Ganguli/Raag Jog/Raag Jog,99dcaebe-ab49-4fa3-ab6c-a9458143af8e
41,Raag Jog & Kirwani Bhajan by Kaustuv Kanti Ganguli/Kirwani Bhajan/Kirwani Bhajan,f89ad73c-88a0-4cb4-b8cc-e5241a77d8b9
42,Raag Bhatiyar & Bhairavi Thumri by Kaustuv Kanti Ganguli/Raag Bhatiyar/Raag Bhatiyar,01c69de7-7aea-4e54-bc2b-bdd7758c650c
43,Raag Bhatiyar & Bhairavi Thumri by Kaustuv Kanti Ganguli/Bhairavi Thumri/Bhairavi Thumri,f0bc477f-03a7-44c5-8e63-cef7f8692c08
44,Raag Abhogi & Megh by Anol Chatterjee/Raag Abhogi/Raag Abhogi,e40375a2-01d2-4137-823a-3e62503baf98
45,Raag Abhogi & Megh by Anol Chatterjee/Raag Megh/Raag Megh,a1543855-9f8c-42e5-945a-5fea2727df1c
46,Raag Puriya & Bhimpalasi by Brajeshwar Mukherjee/Raag Bhimpalasi/Raag Bhimpalasi,456b18c5-e88b-49b2-ab3e-bcf7cb2d093a
47,Raag Puriya & Bhimpalasi by Brajeshwar Mukherjee/Raag Puriya/Raag Puriya,ecf28526-9da7-43c6-b039-ed9f7e6ca50b
48,Raag Sawani & Bahar by Ulhas Kashalkar/Raag Bahar/Raag Bahar,9dcfa70f-9205-4848-8325-649cc900b12c
49,Raag Sawani & Bahar by Ulhas Kashalkar/Raag Sawani/Raag Sawani,c5692011-a1e4-469b-a978-15a516c7b1c4
50,New Signature by Brajeshwar Mukherjee/Irani Bhairavi Thumri/Irani Bhairavi Thumri,9f4ba52c-935c-4066-ad79-daa709dfa6ec
51,New Signature by Brajeshwar Mukherjee/Raag Bairagi/Raag Bairagi,ea36cb14-7c11-41d0-acb8-70ec66e61063
52,New Signature by Brajeshwar Mukherjee/Raag Saraswati/Raag Saraswati,52d71bd6-1d8b-4007-a027-5732adf68355
53,Raag Todi by Kumar Gandharva/Raag Todi/Raag Todi,3f162361-c4fa-46f9-bc56-58242d978449
54,"Raag Malkauns, Chandrakauns & Majh Khamaj Thumri by Satyasheel Deshpande/Raag Chandrakauns/Raag Chandrakauns",49747cb6-7edc-43aa-bf15-44a6043f6472
55,"Raag Malkauns, Chandrakauns & Majh Khamaj Thumri by Satyasheel Deshpande/Majh Khamaj Thumri/Majh Khamaj Thumri",6bb27c39-a1d0-4775-8915-662044c43352
56,"Raag Malkauns, Chandrakauns & Majh Khamaj Thumri by Satyasheel Deshpande/Raag Malkauns/Raag Malkauns",52944bc0-4639-4760-be76-f2720a20be81
57,Raag Jog & Hameer by Brajeshwar Mukherjee/Raag Hameer/Raag Hameer,a7f28ee8-49af-4572-9c9c-f06b9d85dda2
58,Raag Jog & Hameer by Brajeshwar Mukherjee/Raag Jog/Raag Jog,d0781259-2c63-4b35-8ca3-75c19a98e275
59,Raag Marwa & Hameer by Sameehan Kashalkar/Raag Marwa/Raag Marwa,1a311323-791b-46fa-ab59-b749adcd18e1
60,Raag Marwa & Hameer by Sameehan Kashalkar/Raag Hameer/Raag Hameer,78e3eb01-f033-4461-9a3f-3ffbdf0834fb
61,Raag Ahir Bhairon & Todi by Omkar Dadarkar/Raag Ahir Bhairon/Raag Ahir Bhairon,2073b056-8120-4b04-b808-3d6a8c6a2bd7
62,Raag Ahir Bhairon & Todi by Omkar Dadarkar/Raag Todi/Raag Todi,25d5c348-023b-487b-b149-a46d553cedee
63,Raag Poorva & Gaud Malhar by Sameehan Kashalkar/Raag Poorva/Raag Poorva,43957847-9bdd-4f81-a540-3db26a0ad652
64,Raag Poorva & Gaud Malhar by Sameehan Kashalkar/Raag Gaud Malhar/Raag Gaud Malhar,aea2a29d-9ca0-4cd5-b3e9-9dcacd95165c
65,Raag Bihag & Bhairavi Dadra by Omkar Dadarkar/Bhairavi Dadra/Bhairavi Dadra,f5d00c2d-5ca1-4a49-bb38-1af3496e6dfc
66,Raag Bihag & Bhairavi Dadra by Omkar Dadarkar/Raag Bihag/Raag Bihag,5d56b3ab-99d1-48c3-a785-269d74ccc944
67,Geetinandan __ Part-3 by Ajoy Chakrabarty/Bairagi/Bairagi,b71c2774-2532-4692-8761-5452e2a83118
68,Geetinandan __ Part-3 by Ajoy Chakrabarty/Taal and Sur of Thekas/Taal and Sur of Thekas,2e5c159d-3dea-4a47-b871-76536866d643
69,Geetinandan __ Part-3 by Ajoy Chakrabarty/Shrutinandan Concept - an Introduction by Pandit Ajoy Chakrabarty/Shrutinandan Concept - an Introduction by Pandit Ajoy Chakrabarty,450a6fcc-3c0a-483d-a31b-dde91413dcdd
70,Geetinandan __ Part-3 by Ajoy Chakrabarty/Malkauns/Malkauns,b77a3149-40fa-4e28-8205-cd4f006f60a1
71,Geetinandan __ Part-3 by Ajoy Chakrabarty/Multani/Multani,ae735e58-e8a1-4db8-9a0a-b8f83863412a
72,Geetinandan __ Part-3 by Ajoy Chakrabarty/Todi/Todi,204008ee-89fe-44a4-a0c7-7bd7d64cf8a4
73,Geetinandan __ Part-3 by Ajoy Chakrabarty/Nat Bhairon/Nat Bhairon,6a2c841d-5a0e-4886-a5c0-f856fccbb938
74,Geetinandan __ Part-3 by Ajoy Chakrabarty/Aahir Bhairon/Aahir Bhairon,51656b20-295c-40f9-8dab-005b9b90fa98
75,Geetinandan __ Part-3 by Ajoy Chakrabarty/Sudh Sarang/Sudh Sarang,3a75a312-b119-41f8-8a5a-e799ebeed0cc
76,Geetinandan __ Part-3 by Ajoy Chakrabarty/Raageshree/Raageshree,7704b0d2-eeac-47e4-ba05-c541a91eb621
77,Geetinandan __ Part-3 by Ajoy Chakrabarty/Sudh Kalyan/Sudh Kalyan,a6d77610-1084-4696-9734-79285672df16
78,Geetinandan __ Part-3 by Ajoy Chakrabarty/Lyrics of all the Bandishes/Lyrics of all the Bandishes,b3849502-db24-4042-9d61-299de0211423
79,Geetinandan __ Part-3 by Ajoy Chakrabarty/Bilaskhani Todi/Bilaskhani Todi,3124479b-5118-4cf3-823f-8fefad45e586
80,Geetinandan __ Part-3 by Ajoy Chakrabarty/Maru Bihag/Maru Bihag,631bde83-42e4-4c04-b260-3dbbd5b03799
81,Geetinandan __ Part-3 by Ajoy Chakrabarty/Kalavati/Kalavati,d7a57d81-a5dd-44d8-aabf-951cb8f73fe2
82,Raag Bhoopali & Paraj by Sameehan Kashalkar/Raag Paraj/Raag Paraj,274262a7-58b8-455a-a6f5-91a421453c3e
83,Raag Bhoopali & Paraj by Sameehan Kashalkar/Raag Bhoopali/Raag Bhoopali,b4e6f413-a94e-4b8f-9088-0172bd443e3f
84,Raag Kedar & Sohani by Sameehan Kashalkar/Raag Kedar/Raag Kedar,80d7ae8a-c78b-4469-a3de-b1271df8c50f
85,Raag Kedar & Sohani by Sameehan Kashalkar/Raag Sohani/Raag Sohani,59b4daa8-bc31-446d-9f1d-670d5adec627
86,Anaahata by Milind Malshe/Raag Khat Todi/Raag Khat Todi,b7e9ec27-9777-456c-b7b6-bcfe2936e5e7
87,Anaahata by Milind Malshe/Raag Ramgauri & Gauri/Raag Ramgauri & Gauri,3e2b9a68-43dc-45aa-b021-f4f6b3cb6171
88,Anaahata by Milind Malshe/Raag Sohani/Raag Sohani,acae4dcf-e5e7-4c8f-b17c-bfec74cabcc1
