4.677551020	2	3.297959183	srdsrgg
10.628571428	2	3.502040816	ggrsrgprs
65.640816326	2	2.726530612	ppdprg
274.595918367	2	2.506122448	ssrsdpd
370.008163265	0	2.244897959	ssrsdpd
933.673469387	2	2.097959183	drssddp
945.689795918	0	2.065306122	drssddp
1054.759183673	0	2.000000000	drssddp
1086.816326530	0	3.134693877	drssddpd
1098.473469387	1	3.232653061	drssddpgpd
1110.236734693	0	3.248979591	drssddpgpd
1121.967346938	0	3.191836734	drssddpgpd
1133.730612244	0	3.216326530	drssddpgpd
1238.865306122	0	3.036734693	drssddpgpd
1250.620408163	0	3.216326530	drssddpgpd
1262.432653061	0	3.077551020	drssdpgpd
1459.493877551	0	1.600000000	drssddp
