0.000000000	1	0.000022675
4.969070294	1	10.611519274	Pnr
50.085442176	1	9.171882086	PnS
63.297596371	0	9.775600907	Pnr
106.417052154	1	2.856054421	rm
131.099863945	0	9.102222222	Pnr
150.813605442	0	3.877732426	PnS
157.454512471	0	3.877732426	rm
195.581678004	0	8.521723356	Pnr
213.762902494	0	3.738412698	PnS
219.149931972	0	3.738412698	rm
231.711927437	1	5.363809523	nPmr
273.461405895	0	10.797278911	PnS
286.580680272	0	6.548027210	PnS
310.404353741	0	8.219863945	PnS
354.475827664	0	4.899410430	PnS
361.557913832	0	7.337505668	Pnr
377.324263038	0	3.761632653	Pnr
403.632471655	0	2.113015873	PnS
414.545850340	0	8.196643990	Pnr
423.253333333	0	3.575873015	mr
434.747210884	0	4.272471655	Pnr
485.482811791	0	8.335963718	mr
497.348208616	0	7.964444444	PnS
505.637732426	0	2.577414965	mr
509.724444444	0	3.993832199	mr
534.430476190	0	5.944308390	PnS
559.600907029	0	5.758548752	rm
567.542131519	0	6.060408163	rm
576.156734693	0	5.712108843	rm
584.724897959	0	1.625396825	rm
590.994285714	0	3.041814058	mr
609.105850340	0	3.041814058	rm
623.107482993	0	7.941224489	rm
632.093605442	0	3.088253968	mr
637.016235827	0	3.088253968	rm
643.099863945	0	3.390113378	rm
648.672653061	0	6.060408163	mr
699.129614512	1	8.661043083	rmP
714.594104308	0	7.407165532	rmP
730.708752834	0	3.297233560	nPmr
744.663945578	0	6.037188208	rmP
760.314195011	0	11.400997732	rmP
774.849886621	0	3.784852607	rmP
787.086802721	0	2.925714285	PnS
790.476916099	0	2.972154195	Pnr
794.076009070	0	3.204353741	rm
797.860861678	0	3.482993197	rmP
801.552834467	0	4.736870748	nPmr
863.108934240	0	3.784852607	nPmr
893.271655328	0	7.128526077	nS
914.959092970	1	3.157913832	mPn
925.361632653	0	2.530975056	rm
928.635646258	0	3.459773242	rmP
968.527528344	0	5.363809523	mPn
1034.193560090	0	7.383945578	PnS
1054.116281179	0	3.320453514	PnS
1058.946031746	0	3.854512471	mPn
1070.579229024	0	3.506213151	PnS
1086.786757369	0	2.693514739	PnS
1103.389024943	0	6.013968253	PnS
1113.745124716	0	4.388571428	Pnr
1129.650793650	0	3.250793650	Pnr
1138.590476190	0	4.179591836	PnS
1176.183582766	0	6.733786848	Pnr
1234.581768707	0	4.156371882	PnS
1253.227392290	0	2.414875283	rm
1256.269206349	0	4.179591836	rmP
1267.368344671	0	5.085170068	nPmr
1273.010793650	0	2.948934240	mr
1404.830476190	0	8.057324263	Pnr
1605.868843537	0	7.244625850	PnS
1918.873832199	0	4.899410430	rmP
1934.361541950	0	6.989206349	PnS
1945.530340136	0	4.876190476	Pnr
1963.247165532	0	3.320453514	rmP
2134.122811791	0	3.993832199	PnS
2451.168072562	0	5.340589569	PnS
